year,old name,old code,new name,new code
1980-1981,龙岩县,352721,龙岩市,352701
1980-1981,开远县,532521,开远市,532502
1981-1982,绥化县,232123,绥化市,232301
1981-1982,北安县,232622,北安市,232602
1981-1982,滁县,342323,滁州市,342301
1981-1982,泰安县,372621,泰安市,372601
1981-1982,新汶县,372628,新汶市,372602
1981-1982,吉首县,433121,吉首市,433101
1982-1983,忻县,142221,忻州市,142201
1982-1983,晋城县,142527,晋城市,142501
1982-1983,运城县,142721,运城市,142701
1982-1983,东胜县,152721,东胜市,152701
1982-1983,常熟县,322724,常熟市,321301
1982-1983,邵武县,352125,邵武市,352102
1982-1983,新余县,362224,渝水区,360502
1982-1983,福山县,372121,福山区,370611
1982-1983,聊城县,372521,聊城市,372501
1982-1983,临清县,372528,临清市,372502
1982-1983,莱芜县,372621,莱芜市,372602
1982-1983,济宁县,372721,市郊区,370811
1982-1983,临沂县,372821,临沂市,372801
1982-1983,菏泽县,372921,菏泽市,372901
1982-1983,孝感县,422221,孝感市,422201
1982-1983,咸宁县,422321,咸宁市,422301
1982-1983,均县,422621,丹江口市,422601
1982-1983,中山县,442724,中山市,440620
1982-1983,玉林县,452521,玉林市,452501
1982-1983,百色县,452621,百色市,452601
1982-1983,河池县,452721,河池市,452701
1982-1983,钦州县,452823,钦州市,452802
1982-1983,涪陵县,512321,涪陵市,512301
1982-1983,雅安县,513121,雅安市,513101
1982-1983,楚雄县,532321,楚雄市,532301
1982-1983,玉溪县,532421,玉溪市,532401
1982-1983,保山县,533021,保山市,533001
1982-1983,渭南县,612123,渭南市,612101
1982-1983,韩城县,612131,韩城市,612102
1982-1983,平凉县,622721,平凉市,622701
1982-1983,吴忠县,642121,吴忠市,642101
1982-1983,昌吉县,652321,昌吉市,652301
1982-1983,阿克苏县,652921,阿克苏市,652901
1983-1984,临河县,152821,临河市,152801
1983-1984,安达县,232327,安达市,232302
1983-1984,永安县,350422,永安市,350501
1983-1984,井冈山县,362433,井冈山市,362402
1983-1984,崖县,442221,三亚市,442201
1983-1984,德阳县,510621,市中区,510602
1983-1984,青铜峡县,642122,青铜峡市,642102
1983-1984,吐鲁番县,652121,吐鲁番市,652101
1983-1984,塔城县,652521,塔城市,654201
1983-1984,阿勒泰县,652621,阿勒泰市,654301
1984-1985,复县,210223,瓦房店市,210219
1984-1985,海城县,210322,海城市,210319
1984-1985,锦西县,210721,锦西市,210719
1984-1985,北票县,211326,北票市,211319
1984-1985,怀德县,220321,公主岭市,220319
1984-1985,海龙县,222221,梅河口市,220519
1984-1985,敦化县,222422,敦化市,222403
1984-1985,余姚县,330223,余姚市,330219
1984-1985,兰溪县,332421,兰溪市,330701
1984-1985,醴陵县,430222,醴陵市,430219
1984-1985,大庸县,433128,大庸市,433102
1984-1985,东莞县,442527,东莞市,442502
1984-1985,酒泉县,622121,酒泉市,622102
1984-1985,张掖县,622221,张掖市,622201
1984-1985,武威县,622321,武威市,622301
1984-1985,博乐县,652721,博乐市,652701
1985-1986,南宫县,132230,南宫市,132201
1985-1986,束鹿县,132321,辛集市,132301
1985-1986,涿县,132430,涿州市,132402
1985-1986,定县,132439,定州市,132401
1985-1986,任丘县,132933,任丘市,132903
1985-1986,兴城县,210722,兴城市,219004
1985-1986,肇东县,232322,肇东市,232303
1985-1986,沙洲县,320521,张家港市,329004
1985-1986,仪征县,321029,仪征市,329002
1985-1986,海宁县,330423,海宁市,339002
1985-1986,丽水县,332521,丽水市,332501
1985-1986,临海县,332621,临海市,332602
1985-1986,亳县,342126,亳州市,342102
1985-1986,黄县,370623,龙口市,379002
1985-1986,益都县,370721,青州市,379001
1985-1986,曲阜县,370823,曲阜市,379003
1985-1986,麻城县,422124,麻城市,422101
1985-1986,应城县,422227,应城市,422202
1985-1986,蒲圻县,422323,蒲圻市,422302
1985-1986,石首县,422424,石首市,422402
1985-1986,沔阳县,422427,仙桃市,422401
1985-1986,利川县,422824,利川市,422802
1985-1986,湘乡县,430322,湘乡市,439002
1985-1986,耒阳县,430427,耒阳市,439003
1985-1986,日喀则县,542321,日喀则市,542301
1985-1986,阿图什县,653021,阿图什市,653001
1986-1987,沙河县,132222,沙河市,132202
1986-1987,金县,210221,金州区,210213
1986-1987,扶余县,222321,扶余市,222303
1986-1987,洮安县,222322,洮南市,222302
1986-1987,阿城县,230122,阿城市,239002
1986-1987,同江县,230831,同江市,239003
1986-1987,江阴县,320221,江阴市,329005
1986-1987,宿迁县,320824,宿迁市,329006
1986-1987,淮安县,320828,淮安市,329010
1986-1987,东台县,320927,东台市,329008
1986-1987,兴化县,321021,兴化市,329009
1986-1987,丹阳县,321122,丹阳市,329007
1986-1987,萧山县,330121,萧山市,339005
1986-1987,瑞安县,330325,瑞安市,339004
1986-1987,江山县,330823,江山市,339006
1986-1987,定海县,332721,定海区,330902
1986-1987,普陀县,332722,普陀区,330903
1986-1987,胶县,370224,胶州市,379006
1986-1987,莱阳县,370627,莱阳市,379008
1986-1987,诸城县,370728,诸城市,379007
1986-1987,广济县,422129,武穴市,422102
1986-1987,安陆县,422225,安陆市,422203
1986-1987,洪湖县,422426,洪湖市,422403
1986-1987,天门县,422428,天门市,422404
1986-1987,宜都县,422722,枝城市,422701
1986-1987,汨罗县,430627,汨罗市,439004
1986-1987,涟源县,432521,涟源市,432503
1986-1987,铜仁县,522221,铜仁市,522201
1986-1987,兴义县,522321,兴义市,522301
1986-1987,敦煌县,622122,敦煌市,622103
1987-1988,武安县,130422,武安市,139001
1987-1988,朔县,142128,朔城区,140602
1987-1988,平鲁县,142129,平鲁区,140603
1987-1988,开原县,211222,开原市,219007
1987-1988,九台县,220123,九台市,229005
1987-1988,桦甸县,220225,桦甸市,229004
1987-1988,集安县,220522,集安市,229003
1987-1988,大安县,222325,大安市,222304
1987-1988,龙井县,222421,龙井市,222405
1987-1988,珲春县,222425,珲春市,222404
1987-1988,铁力县,230721,铁力市,239005
1987-1988,富锦县,230821,富锦市,239004
1987-1988,密山县,231026,密山市,239006
1987-1988,双城县,232124,双城市,232101
1987-1988,尚志县,232129,尚志市,232102
1987-1988,宜兴县,320223,宜兴市,329011
1987-1988,慈溪县,330222,慈溪市,339009
1987-1988,奉化县,330224,奉化市,339010
1987-1988,东阳县,330724,东阳市,339008
1987-1988,义乌县,330725,义乌市,339007
1987-1988,贵池县,342830,贵池市,342901
1987-1988,宁德县,352221,宁德市,352201
1987-1988,丰城县,362221,丰城市,362202
1987-1988,清江县,362223,樟树市,362203
1987-1988,崂山县,370221,崂山区,370212
1987-1988,滕县,370421,滕州市,379010
1987-1988,掖县,370625,莱州市,379009
1987-1988,文登县,371022,文登市,379011
1987-1988,荣成县,371023,荣成市,379012
1987-1988,乐陵县,372427,乐陵市,372402
1987-1988,临汝县,410424,汝州市,419002
1987-1988,汲县,410722,卫辉市,419005
1987-1988,辉县,410723,辉县市,419006
1987-1988,济源县,410827,济源市,419003
1987-1988,禹县,411021,禹州市,419004
1987-1988,邓县,412930,邓州市,412902
1987-1988,枣阳县,420622,枣阳市,429003
1987-1988,应山县,422224,广水市,422204
1987-1988,潜江县,422429,潜江市,422405
1987-1988,当阳县,422724,当阳市,422702
1987-1988,沅江县,432323,沅江市,432302
1987-1988,贵县,452522,贵港市,452502
1987-1988,灌县,510127,都江堰市,519003
1987-1988,广汉县,510624,广汉市,519001
1987-1988,江油县,510721,江油市,519002
1987-1988,峨眉县,511125,峨眉山市,519004
1987-1988,安康县,612421,安康市,612401
1987-1988,商县,612521,商州市,612501
1987-1988,榆林县,612721,榆林市,612701
1988-1989,藁城县,132325,藁城市,132302
1988-1989,黄骅县,132930,黄骅市,132904
1988-1989,霍县,142626,霍州市,142603
1988-1989,蛟河县,220224,蛟河市,229006
1988-1989,海伦县,232321,海伦市,232304
1988-1989,昆山县,320523,昆山市,329012
1988-1989,启东县,320626,启东市,329013
1988-1989,诸暨县,330625,诸暨市,339011
1988-1989,黄岩县,332622,黄岩市,332603
1988-1989,界首县,342129,界首市,342103
1988-1989,崇安县,352126,武夷山市,352103
1988-1989,福安县,352226,福安市,352202
1988-1989,瑞昌县,360422,瑞昌市,369001
1988-1989,即墨县,370222,即墨市,379013
1988-1989,平度县,370226,平度市,379014
1988-1989,沁阳县,410824,沁阳市,419007
1989-1990,霸县,131027,霸州市,139002
1989-1990,河间县,132922,河间市,132905
1989-1990,丰镇县,152628,丰镇市,152602
1989-1990,榆树县,220121,榆树市,229007
1989-1990,新沂县,320326,新沂市,329014
1989-1990,溧阳县,320423,溧阳市,329015
1989-1990,龙泉县,332524,龙泉市,332502
1989-1990,福清县,350127,福清市,359003
1989-1990,漳平县,352626,漳平市,352602
1989-1990,德兴县,362333,德兴市,362302
1989-1990,胶南县,370223,胶南市,379016
1989-1990,莱西县,370225,莱西市,379015
1989-1990,黄冈县,422121,黄州市,422103
1989-1990,赤水县,522131,赤水市,522102
1989-1990,华阴县,612125,华阴市,612103
1990-1991,晋县,132322,晋州市,132303
1990-1991,安国县,132440,安国市,132403
1990-1991,新金县,210222,普兰店市,219008
1990-1991,凌源县,211323,凌源市,219009
1990-1991,如皋县,320622,如皋市,329016
1990-1991,高邮县,321022,高邮市,329017
1990-1991,平湖县,330422,平湖市,339012
1990-1991,蓬莱县,370622,蓬莱市,379017
1990-1991,招远县,370624,招远市,379018
1990-1991,巩县,410124,巩义市,419009
1990-1991,揭阳县,440525,榕城区,445202
1990-1991,阆中县,512930,阆中市,512903
1991-1992,遵化县,130228,遵化市,139003
1991-1992,新乐县,132329,新乐市,132304
1991-1992,孝义县,142324,孝义市,142301
1991-1992,介休县,142432,介休市,142402
1991-1992,庄河县,210225,庄河市,219010
1991-1992,营口县,210821,大石桥市,219011
1991-1992,盖县,210824,盖州市,219012
1991-1992,舒兰县,220222,舒兰市,229008
1991-1992,讷河县,230222,讷河市,239008
1991-1992,海林县,231022,海林市,239007
1991-1992,嘉定县,310222,嘉定区,310114
1991-1992,邳县,320325,邳州市,329019
1991-1992,吴江县,320525,吴江市,329018
1991-1992,泰兴县,321025,泰兴市,329020
1991-1992,建德县,330126,建德市,339013
1991-1992,瓯海县,330321,瓯海区,330304
1991-1992,上虞县,330622,上虞市,339015
1991-1992,永康县,330722,永康市,339014
1991-1992,晋江县,350522,晋江市,359004
1991-1992,建瓯县,352123,建瓯市,352104
1991-1992,乐平县,360221,乐平市,369002
1991-1992,章丘县,370122,章丘市,379020
1991-1992,兖州县,370822,兖州市,379021
1991-1992,邹县,370825,邹城市,379022
1991-1992,肥城县,370922,肥城市,379019
1991-1992,汉阳县,420121,蔡甸区,420114
1991-1992,钟祥县,422431,钟祥市,422406
1991-1992,临湘县,430622,临湘市,439007
1991-1992,番禺县,440126,番禺市,449003
1991-1992,南海县,440622,南海市,449004
1991-1992,顺德县,440623,顺德市,449001
1991-1992,新会县,440721,新会市,449006
1991-1992,台山县,440722,台山市,449002
1991-1992,云浮县,441227,云浮市,449005
1991-1992,琼海县,460023,琼海市,460002
1991-1992,江津县,510225,江津市,519007
1991-1992,合川县,510226,合川市,519006
1991-1992,永川县,510229,永川市,519005
1991-1992,清镇县,522525,清镇市,522502
1991-1992,瑞丽县,533125,瑞丽市,533102
1991-1992,阜康县,652326,阜康市,652302
1992-1993,新城县,132436,高碑店市,132404
1992-1993,冀县,133022,冀州市,133002
1992-1993,高平县,140523,高平市,149002
1992-1993,原平县,142224,原平市,142202
1992-1993,新民县,210121,新民市,219013
1992-1993,东沟县,210623,东港市,219014
1992-1993,锦县,210724,凌海市,219015
1992-1993,临江县,220624,临江市,229011
1992-1993,和龙县,222423,和龙市,222406
1992-1993,宁安县,231021,宁安市,239011
1992-1993,五常县,232125,五常市,232103
1992-1993,金坛县,320422,金坛市,329024
1992-1993,太仓县,320522,太仓市,329022
1992-1993,南通县,320624,通州市,329021
1992-1993,靖江县,321024,靖江市,329023
1992-1993,乐清县,330323,乐清市,339017
1992-1993,桐乡县,330425,桐乡市,339016
1992-1993,天长县,341121,天长市,349001
1992-1993,南安县,350523,南安市,359005
1992-1993,龙海县,350621,龙海市,359006
1992-1993,高安县,362222,高安市,362204
1992-1993,寿光县,370723,寿光市,379023
1992-1993,乳山县,371021,乳山市,379024
1992-1993,禹城县,372426,禹城市,372403
1992-1993,偃师县,410321,偃师市,419012
1992-1993,长葛县,411022,长葛市,419011
1992-1993,灵宝县,411223,灵宝市,419010
1992-1993,项城县,412729,项城市,412702
1992-1993,浏阳县,430123,浏阳市,439008
1992-1993,花县,440121,花都市,449013
1992-1993,增城县,440125,增城市,449017
1992-1993,潮阳县,440524,潮阳市,449011
1992-1993,三水县,440621,三水市,449008
1992-1993,开平县,440724,开平市,449007
1992-1993,鹤山县,440725,鹤山市,449015
1992-1993,廉江县,440822,廉江市,449018
1992-1993,高州县,440922,高州市,449012
1992-1993,高要县,441221,高要市,449014
1992-1993,四会县,441222,四会市,449016
1992-1993,罗定县,441230,罗定市,449010
1992-1993,普宁县,445223,普宁市,449009
1992-1993,宜山县,452722,宜州市,452702
1992-1993,儋县,460029,儋州市,460003
1992-1993,彭县,510126,彭州市,519010
1992-1993,资阳县,511026,资阳市,519009
1992-1993,巴中县,513027,巴中市,513701
1992-1993,毕节县,522421,毕节市,522401
1992-1993,思茅县,532721,思茅市,532701
1992-1993,景洪县,532821,景洪市,532801
1992-1993,兴平县,610421,兴平市,619001
1993-1994,获鹿县,130122,鹿泉市,139019
1993-1994,丰南县,130222,丰南市,139020
1993-1994,深县,133025,深州市,133003
1993-1994,潞城县,140422,潞城市,149003
1993-1994,永济县,142722,永济市,142703
1993-1994,河津县,142728,河津市,142702
1993-1994,凤城满族自治县,210621,凤城市,219016
1993-1994,德惠县,220124,德惠市,229012
1993-1994,海门县,320625,海门市,329026
1993-1994,江都县,321026,江都市,329025
1993-1994,泰县,321028,姜堰市,329028
1993-1994,扬中县,321124,扬中市,329027
1993-1994,富阳县,330123,富阳市,339019
1993-1994,余杭县,330125,余杭市,339021
1993-1994,温岭县,332623,温岭市,339020
1993-1994,嘉山县,341127,明光市,349002
1993-1994,长乐县,350126,长乐市,359011
1993-1994,建阳县,352122,建阳市,359010
1993-1994,瑞金县,362134,瑞金市,362102
1993-1994,安丘县,370722,安丘市,379027
1993-1994,昌邑县,370726,昌邑市,379028
1993-1994,高密县,370727,高密市,379029
1993-1994,荥阳县,410121,荥阳市,419016
1993-1994,新郑县,410123,新郑市,419017
1993-1994,登封县,410125,登封市,419018
1993-1994,密县,410126,新密市,419015
1993-1994,林县,410521,林州市,419014
1993-1994,大冶县,420221,大冶市,429016
1993-1994,宜城县,420623,宜城市,429017
1993-1994,武冈县,430526,武冈市,439011
1993-1994,从化县,440122,从化市,449021
1993-1994,乐昌县,440225,乐昌市,449026
1993-1994,澄海县,440521,澄海市,449022
1993-1994,高明县,440624,高明市,449023
1993-1994,恩平县,440723,恩平市,449020
1993-1994,吴川县,440821,吴川市,449029
1993-1994,海康县,440824,雷州市,449025
1993-1994,化州县,440924,化州市,449031
1993-1994,惠阳县,441321,惠阳市,449028
1993-1994,兴宁县,441425,兴宁市,449030
1993-1994,阳春县,441722,阳春市,449027
1993-1994,英德县,441822,英德市,449019
1993-1994,连县,441824,连州市,449024
1993-1994,桂平县,452523,桂平市,452503
1993-1994,北流县,452526,北流市,452504
1993-1994,琼山县,460021,琼山市,460004
1993-1994,崇庆县,510128,崇州市,519013
1993-1994,邛崃县,510130,邛崃市,519012
1993-1994,简阳县,511027,简阳市,519011
1993-1994,南川县,512323,南川市,512302
1993-1994,宣威县,532224,宣威市,532202
1994-1995,北镇满族自治县,210725,北宁市,210782
1994-1995,磐石县,220223,磐石市,220284
1994-1995,穆棱县,231023,穆棱市,231085
1994-1995,无锡县,320222,锡山市,320283
1994-1995,武进县,320421,武进市,320483
1994-1995,吴县,320524,吴县市,320586
1994-1995,句容县,321123,句容市,321183
1994-1995,嵊县,330623,嵊州市,330683
1994-1995,福鼎县,352224,福鼎市,352203
1994-1995,南康县,362122,南康市,362103
1994-1995,栖霞县,370628,栖霞市,370686
1994-1995,武昌县,420122,江夏区,420115
1994-1995,松滋县,421024,松滋市,421087
1994-1995,信宜县,440921,信宜市,440983
1994-1995,陆丰县,441522,陆丰市,441581
1994-1995,岑溪县,452421,岑溪市,452401
1994-1995,文昌县,460022,文昌市,460005
1994-1995,什邡县,510625,什邡市,510682
1994-1995,仁怀县,522130,仁怀市,522103
1994-1995,安宁县,530123,安宁市,530181
1995-1996,迁安县,130226,迁安市,130283
1995-1996,汾阳县,142321,汾阳市,142303
1995-1996,离石县,142331,离石市,142302
1995-1996,灯塔县,211022,灯塔市,211081
1995-1996,双辽县,220324,双辽市,220382
1995-1996,虎林县,230322,虎林市,230381
1995-1996,大丰县,320926,大丰市,320982
1995-1996,临安县,330124,临安市,330185
1995-1996,桐城县,340821,桐城市,340881
1995-1996,同安县,350221,同安区,350212
1995-1996,贵溪县,360621,贵溪市,360681
1995-1996,海阳县,370629,海阳市,370687
1995-1996,孟县,410826,孟州市,410883
1995-1996,永城县,412328,永城市,412302
1995-1996,枝江县,420523,枝江市,420583
1995-1996,常宁县,430425,常宁市,430482
1995-1996,南雄县,440223,南雄市,440282
1995-1996,万宁县,460024,万宁市,460006
1995-1996,绵竹县,510622,绵竹市,510683
1995-1996,福泉县,522724,福泉市,522702
1995-1996,潞西县,533121,潞西市,533103
1995-1996,灵武县,642125,灵武市,642103
1995-1996,米泉县,652322,米泉市,652303
1995-1996,乌苏县,654222,乌苏市,654202
1996-1997,通县,110223,通州区,110112
1996-1997,金山县,310228,金山区,310116
1996-1997,宁国县,342524,宁国市,342502
1996-1997,汉川县,420924,汉川市,420984
1996-1997,贺县,452426,贺州市,452402
1996-1997,东方黎族自治县,460032,东方市,460007
1996-1997,临潼县,610123,临潼区,610115
1997-1998,顺义县,110222,顺义区,110113
1997-1998,松江县,310227,松江区,310117
1997-1998,黄陂县,420123,黄陂区,420116
1997-1998,新洲县,420124,新洲区,420117
1997-1998,广安县,513622,广安区,511602
1998-1999,昌平县,110221,昌平区,110114
1998-1999,青浦县,310229,青浦区,310118
1999-2000,武清县,120222,武清区,120114
1999-2000,江宁县,320121,江宁区,320115
1999-2000,淮阴县,320821,淮阴区,320804
1999-2000,邗江县,321027,邗江区,321003
1999-2000,黔江土家族苗族自治县,500239,黔江区,500114
1999-2000,眉山县,513821,东坡区,511402
2000-2001,大兴县,110224,大兴区,110115
2000-2001,平谷县,110226,平谷区,110117
2000-2001,怀柔县,110227,怀柔区,110116
2000-2001,宝坻县,120224,宝坻区,120115
2000-2001,南汇县,310225,南汇区,310119
2000-2001,奉贤县,310226,奉贤区,310120
2000-2001,长清县,370123,长清区,370113
2000-2001,长寿县,500221,长寿区,500115
2000-2001,新都县,510125,新都区,510114
2000-2001,固原县,642221,原州区,640402
2001-2002,丹徒县,321121,丹徒区,321112
2001-2002,鄞县,330227,鄞州区,330212
2001-2002,崇左县,452129,江州区,451402
2001-2002,来宾县,452226,兴宾区,451302
2001-2002,温江县,510123,温江区,510115
2001-2002,丽江纳西族自治县,533221,古城区,530702
2001-2002,长安县,610121,长安区,610116
2001-2002,耀县,610221,耀州区,610204
2002-2003,临沧县,533521,临翔区,530902
2002-2003,定西县,622421,安定区,621102
2002-2003,中卫县,640321,沙坡头区,640502
2003-2004,武都县,622621,武都区,621202
2005-2006,江源县,220625,江源区,220605
2009-2010,蒙自县,532522,蒙自市,532503
2009-2010,文山县,532621,文山市,532601
2010-2011,望城县,430122,望城区,430112
2010-2011,南溪县,511522,南溪区,511503
2010-2011,呈贡县,530121,呈贡区,530114
2011-2012,清新县,441827,清新区,441803
2011-2012,名山县,511821,名山区,511803
2012-2013,扶余县,220724,扶余市,220781
2012-2013,溧水县,320124,溧水区,320117
2012-2013,高淳县,320125,高淳区,320118
2012-2013,梅县,441421,梅县区,441403
2012-2013,临桂县,450322,临桂区,450312
2012-2013,弥勒县,532526,弥勒市,532504
2012-2013,乐都县,632123,乐都区,630202
2012-2013,玉树县,632721,玉树市,632701
2013-2014,栾城县,130124,栾城区,130111
2013-2014,赣榆县,320721,赣榆区,320707
2013-2014,永定县,350822,永定区,350803
2013-2014,陵县,371421,陵城区,371403
2013-2014,沾化县,371624,沾化区,371603
2013-2014,开封县,410224,祥符区,410212
2013-2014,郧县,420321,郧阳区,420304
2013-2014,阳东县,441723,阳东区,441704
2013-2014,铜梁县,500224,铜梁区,500151
2013-2014,璧山县,500227,璧山区,500120
2013-2014,彭山县,511422,彭山区,511403
2013-2014,平坝县,520421,平坝区,520403
2013-2014,香格里拉县,533421,香格里拉市,533401
2013-2014,昌都县,542121,卡若区,540302
2013-2014,高陵县,610126,高陵区,610117
2014-2015,密云县,110228,密云区,110118
2014-2015,延庆县,110229,延庆区,110119
2014-2015,宁河县,120221,宁河区,120117
2014-2015,静海县,120223,静海区,120118
2014-2015,满城县,130621,满城区,130607
2014-2015,清苑县,130622,清苑区,130608
2014-2015,徐水县,130625,徐水区,130609
2014-2015,东宁县,231024,东宁市,231086
2014-2015,铜陵县,340721,义安区,340706
2014-2015,新建县,360122,新建区,360112
2014-2015,广丰县,361122,广丰区,361103
2014-2015,陕县,411222,陕州区,411203
2014-2015,武鸣县,450122,武鸣区,450110
2014-2015,靖西县,451025,靖西市,451081
2014-2015,潼南县,500223,潼南区,500152
2014-2015,荣昌县,500226,荣昌区,500153
2014-2015,双流县,510122,双流区,510116
2014-2015,康定县,513321,康定市,513301
2014-2015,江川县,530421,江川区,530403
2014-2015,腾冲县,530522,腾冲市,530581
2014-2015,堆龙德庆县,540125,堆龙德庆区,540103
2014-2015,林芝县,542621,巴宜区,540402
2014-2015,华县,610521,华州区,610503
2014-2015,横山县,610823,横山区,610803
2014-2015,平安县,630221,平安区,630203
2015-2016,蓟县,120225,蓟州区,120119
2015-2016,肥乡县,130428,肥乡区,130407
2015-2016,万全县,130729,万全区,130708
2015-2016,崇礼县,130733,崇礼区,130709
2015-2016,辽中县,210122,辽中区,210115
2015-2016,大洼县,211121,大洼区,211104
2015-2016,抚远县,230833,抚远市,230883
2015-2016,崇明县,310230,崇明区,310151
2015-2016,洪泽县,320829,洪泽区,320813
2015-2016,赣县,360721,赣县区,360704
2015-2016,东乡县,361029,东乡区,361003
2015-2016,垦利县,370521,垦利区,370505
2015-2016,定陶县,371727,定陶区,371703
2015-2016,许昌县,411023,建安区,411003
2015-2016,柳江县,450221,柳江区,450206
2015-2016,梁平县,500228,梁平区,500155
2015-2016,武隆县,500232,武隆区,500156
2015-2016,开县,500234,开州区,500154
2015-2016,郫县,510124,郫都区,510117
2015-2016,安县,510724,安州区,510705
2015-2016,晋宁县,530122,晋宁区,530115
2015-2016,沾益县,530328,沾益区,530303
2015-2016,泸水县,533321,泸水市,533301
2015-2016,乃东县,542221,乃东区,540502
2015-2016,户县,610125,鄠邑区,610118
2015-2016,安塞县,610624,安塞区,610603
2016-2017,平泉县,130823,平泉市,130881
2016-2017,玉环县,331021,玉环市,331083
2016-2017,九江县,360421,柴桑区,360404
2016-2017,宁乡县,430124,宁乡市,430182
2016-2017,罗江县,510626,罗江区,510604
2016-2017,隆昌县,511028,隆昌市,511083
2016-2017,盘县,520222,盘州市,520281
2016-2017,达孜县,540126,达孜区,540104
2016-2017,那曲县,542421,色尼区,540602
2016-2017,南郑县,610721,南郑区,610703
2016-2017,神木县,610821,神木市,610881
2017-2018,滦县,130223,滦州市,130284
2017-2018,大同县,140227,云州区,140215
2017-2018,长治县,140421,上党区,140404
2017-2018,屯留县,140424,屯留区,140405
2017-2018,怀仁县,140624,怀仁市,140681
2017-2018,漠河县,232723,漠河市,232701
2017-2018,海安县,320621,海安市,320685
2017-2018,潜山县,340824,潜山市,340882
2017-2018,余江县,360622,余江区,360603
2017-2018,济阳县,370125,济阳区,370115
2017-2018,邹平县,371626,邹平市,371681
2017-2018,京山县,420821,京山市,420882
2017-2018,株洲县,430221,渌口区,430212
2017-2018,荔浦县,450331,荔浦市,450381
2017-2018,兴仁县,522322,兴仁市,522302
2017-2018,马龙县,530321,马龙区,530304
2017-2018,水富县,530630,水富市,530681
2017-2018,彬县,610427,彬州市,610482
2017-2018,华亭县,620824,华亭市,620881
2018-2019,太谷县,140726,太谷区,140703
2018-2019,嫩江县,231121,嫩江市,231183
2018-2019,无为县,340225,无为市,340281
2018-2019,广德县,341822,广德市,341882
2018-2019,上饶县,361121,广信区,361104
2018-2019,茌平县,371523,茌平区,371503
2018-2019,长垣县,410728,长垣市,410783
2018-2019,淮阳县,411626,淮阳区,411603
2018-2019,邵东县,430521,邵东市,430582
2018-2019,田阳县,451021,田阳区,451003
2018-2019,平果县,451023,平果市,451082
2018-2019,射洪县,510922,射洪市,510981
2018-2019,澄江县,530422,澄江市,530481
2018-2019,子长县,610623,子长市,610681
2018-2019,湟中县,630122,湟中区,630106
2018-2019,库车县,652923,库车市,652902
2019-2020,任县,130526,任泽区,130505
2019-2020,南和县,130527,南和区,130506
2019-2020,芜湖县,340221,湾沚区,340210
2019-2020,繁昌县,340222,繁昌区,340212
2019-2020,龙南县,360727,龙南市,360783
2019-2020,监利县,421023,监利市,421088
2019-2020,新津县,510132,新津区,510118
2019-2020,同仁县,632321,同仁市,632301
2020-2021,沙县,350427,沙县区,350405
2020-2021,长泰县,350625,长泰区,350605
2020-2021,祁阳县,431121,祁阳市,431181
2020-2021,横县,450127,横州市,450181
2020-2021,会理县,513425,会理市,513402
2020-2021,黔西县,520522,黔西市,520581
2020-2021,禄丰县,532331,禄丰市,532302
2020-2021,凤翔县,610322,凤翔区,610305
2020-2021,旬阳县,610928,旬阳市,610981
2020-2021,沙湾县,654223,沙湾市,654203
2022-2023,米林县,540422,米林市,540481
2022-2023,错那县,540530,错那市,540581
